Feature,Mean_Absolute_SHAP
F638,0.9003682782626459
F2360,0.48828463940173633
F656,0.3119145224877196
F692,0.2734724892794452
F2356,0.25628905393140344
F627,0.20577248421486466
F684,0.18963245399651188
F931,0.1791148577440954
F33,0.16731142551686393
F504,0.1600244557893484
F590,0.15586022179330197
F616,0.15514019569070012
F2365,0.14868152550004973
F621,0.13626895180806295
F1061,0.13407228080170502
F2364,0.10867243715742589
F106,0.10242717192341598
F579,0.09898319390558184
F516,0.09348537046839477
F612,0.08605177875002022
F787,0.08445662641053317
F497,0.08369794792314654
F2355,0.08290148183281619
F532,0.08065866591687726
F785,0.07953355540728421
F952,0.07422317616503527
F995,0.07205784246868673
F686,0.06900352804531294
F514,0.06766077587097186
F2353,0.06548566340285909
F96,0.06536628747700504
F605,0.06355544680220487
F573,0.06193098307825002
F126,0.060211474149930944
F597,0.05890468993907655
F633,0.057767688110823716
F693,0.05755680806824848
F571,0.05698496775366105
F512,0.05666495773155461
F614,0.05660933872904378
F606,0.05598582658685856
F2352,0.05557825116089346
F555,0.052179408530272496
F501,0.05215481470735849
F2376,0.05191361716092574
F2354,0.0501625526325885
F129,0.050101471104487774
F2,0.04907278429995334
F56,0.04724227159463303
F776,0.04624037504601891
F678,0.046225338319378514
F661,0.045958743451403425
F2361,0.04573015406395992
F256,0.04552860576820384
F124,0.04493450636851693
F1044,0.044585601858755215
F257,0.04444212570810979
F666,0.04242152532219034
F728,0.04175749236213587
F836,0.04121360487885396
F682,0.0410511571833917
F5,0.03964712102022646
F1012,0.03956788978253567
F2357,0.03871505065936459
F114,0.038187335126975905
F641,0.03782175031085438
F2096,0.03758915693332363
F1609,0.03744155735327954
F604,0.0370930001685853
F2211,0.03633518419979713
F587,0.03617197110801485
F802,0.036065792238621414
F640,0.03557626592127757
F2160,0.03487111377460928
F121,0.03342729697134884
F711,0.033376341492850764
F737,0.03321076564366948
F107,0.03274384882608517
F233,0.032051590562238066
F837,0.031979923907883914
F659,0.03184234541804805
F811,0.030876276349684692
F565,0.029654868704652976
F726,0.029273038095893118
F427,0.029181340811702424
F385,0.02909690030819838
F374,0.02858495753577666
F57,0.028383104482143828
F617,0.028068679593690245
F1367,0.02786270281068278
F618,0.02784286053923836
F1570,0.027760628812311703
F535,0.027580869771448007
F588,0.02720439060884234
F2362,0.026754273731183206
F690,0.0258620290763812
F387,0.025693165976246955
F530,0.02512821792814486
F1452,0.024839740758574043
F826,0.024798285802447553
F2363,0.02449237267173904
F603,0.02444256970256612
F44,0.024338696849908092
F619,0.023946742167664285
F528,0.023852547267459737
F503,0.02370376474516267
F120,0.023566113317774
F70,0.023358794438358577
F22,0.023288614663109795
F680,0.02292600631309901
F922,0.022362439167542186
F511,0.02231478760495974
F556,0.022200385493387022
F835,0.022118670156708167
F1378,0.02176755799722563
F749,0.021290291496517386
F786,0.02120603774932089
F560,0.020691886054082197
F620,0.020102908193681737
F154,0.019998892947506838
F376,0.019559082044340224
F255,0.019490724227293116
F683,0.019309564342359385
F566,0.019305462750903044
F568,0.019252676673947124
F533,0.01891826071021804
F586,0.018692444330544022
F209,0.018657522267146138
F254,0.018576974486566963
F53,0.018501701779694374
F545,0.01841549674896741
F1598,0.018371025334039816
F1734,0.018329103834065538
F62,0.018192082402133453
F69,0.018062702850187774
F234,0.018000982308965165
F370,0.01798060354198318
F52,0.017884685996785162
F974,0.017784292035796692
F799,0.017674091119235083
F199,0.017626093266624964
F110,0.017564148332424246
F1242,0.017546832766848874
F64,0.0172220010665021
F313,0.016953167990262762
F613,0.01670094084234515
F541,0.016570295936078047
F164,0.016265778997798897
F552,0.016026551412962057
F67,0.015888815290654994
F220,0.01570813185254637
F655,0.015680206063701137
F515,0.015489567921541922
F11,0.015367961944694324
F531,0.015360515784758562
F534,0.015353244496784298
F1547,0.015303757252502296
F525,0.015148477729201979
F117,0.015120351070734004
F89,0.014926075268760797
F699,0.014864085007640849
F2377,0.0147307375107218
F1395,0.014608401052306453
F2200,0.014416487795246015
F416,0.014382683321640395
F689,0.0143151288483738
F549,0.014200686566032891
F134,0.014134750154638972
F105,0.014121865468079045
F461,0.014088538321112374
F2172,0.014061059207156265
F378,0.013986076913923609
F237,0.013906325560930313
F2373,0.013875631394078628
