Feature,Mean_Absolute_SHAP
F614,4.101013733243535
F2178,4.075674190077459
F434,4.069189477673705
F1284,4.046395335274332
F643,4.035386238109966
F547,3.9951966780195134
F1934,3.9900440850446124
F2373,3.9825269367178024
F885,3.930388597421667
F85,3.9180714742162253
F307,3.7327764554392515
F2111,3.725299639200247
F1293,3.6937666346142906
F2035,3.6874819223143525
F320,3.669239860640558
F110,3.635414097751253
F585,3.608450271195698
F408,3.566590362921608
F25,3.5639966688626195
F1604,3.5238970344200964
F1660,3.512536564744356
F2196,3.4935714339830213
F518,3.4115671700291785
F729,3.357882425843946
F76,3.296692552836941
F1610,3.256121907460506
F1069,3.2535800497956173
F841,3.1999839819420406
F1274,3.1863974076103028
F611,3.157519100567973
F709,3.1519154104784906
F186,3.145319397030598
F655,3.110399635231004
F566,3.081166498137535
F2091,3.0345842836923618
F104,3.032725635521456
F1870,3.0225616843425165
F1859,2.9575564853670278
F562,2.9522544573888534
F22,2.920648086827319
F740,2.853871281003312
F1319,2.822752874175241
F623,2.7881644753081027
F1471,2.746430826789228
F641,2.7301745636765693
F2334,2.7180647389635886
F1727,2.69117674918799
F118,2.651159208347162
F1790,2.59716126989537
F2003,2.5069099644838646
F298,2.480931661925344
F395,2.471608360668158
F1803,2.4658448471218803
F353,2.431430283614987
F1236,2.3827218020071848
F823,2.349624911592876
F82,2.3028772032162754
F460,2.3017943038371476
F767,2.293927700036302
F571,2.281442203139167
F505,2.2617925461552746
F1732,2.2376948059464468
F1310,2.235200177586693
F2009,2.214822895841362
F1444,2.1911421200197823
F2061,2.1590129136655833
F866,2.112939318132293
F187,2.1059695750873457
F276,2.1023213280405875
F1567,2.075847111125393
F2225,2.0752466082359886
F1518,2.035315527934015
F1496,1.9978743682691813
F1388,1.9882107936301208
F863,1.977939013574754
F1941,1.9776452796024642
F439,1.9725799243430984
F2052,1.9725157107203635
F1639,1.9647130025769086
F129,1.9187367867203693
F1140,1.8969812448413772
F825,1.8945928207148781
F2294,1.8801227304174375
F1374,1.8540744106566702
F1928,1.8510036104568168
F2129,1.8354145628588505
F1401,1.827564411074723
F1008,1.7650322186952152
F2119,1.752232437751191
F133,1.7478282950169572
F2006,1.6958043908312337
F1568,1.6748143294887547
F223,1.6681591714334587
F601,1.6629003047031166
F603,1.6311117388473881
F33,1.6224346325051147
F139,1.600210381181896
F2362,1.5689974599250385
F1131,1.5594283427171103
F1774,1.5483804468119768
F2355,1.531167777451047
F1629,1.5256907284597006
F1252,1.516469767755265
F586,1.4732265491297623
F322,1.4689592025281268
F419,1.4621808068132818
F1192,1.4611633582685657
F1163,1.4608346959014864
F1488,1.4324302457320024
F1963,1.421942966195963
F337,1.4062945776746123
F1096,1.3884973386972823
F1905,1.3752907768278921
F1084,1.3683897491168162
F2371,1.3530671068933937
F1811,1.2791733790713722
F318,1.277966459490954
F684,1.2762504397388055
F297,1.250518521357252
F2354,1.2484107704296608
F270,1.2483317383548391
F822,1.2423490551668457
F1417,1.2265250721256238
F1211,1.202508746684896
F1415,1.1940672556033607
F731,1.191886933707889
F1256,1.1856269571885796
F2149,1.1808036936791724
F34,1.1686923876901227
F749,1.1644389749907478
F2326,1.1639405196864365
F388,1.1485292497207573
F196,1.1476141669304767
F237,1.1417246019768479
F1846,1.1178829340797602
F287,1.1116008599274168
F2102,1.1083246445154873
F1794,1.1081701914572226
F2040,1.1029356014989102
F470,1.1012058638541422
F2235,1.071328727880089
F1323,1.0562800690504655
F679,1.043093600504808
F16,1.0397075266094808
F552,1.032706861671991
F791,1.0168653048412721
F1537,0.9995770389756349
F154,0.9432912460432499
F289,0.942987460460483
F1391,0.9403848583841568
F1175,0.936888288328856
F1407,0.927969536947238
F2199,0.9051556933449996
F29,0.8936118815920935
F951,0.8759129486455925
F2327,0.8696546274484046
F112,0.8540342386789185
F2142,0.8524283928160198
F2365,0.8462937432348958
F1024,0.8461408407325486
F617,0.8447890307216219
F347,0.8221919931144255
F1049,0.8193759561955323
F43,0.8187779456828552
F8,0.7923309034055938
F71,0.7760499427430556
F1270,0.7653340960180564
F561,0.7632958269761613
F171,0.7620850419590778
F1986,0.7433137060446453
F1951,0.7417490338548185
F221,0.7394369832649632
F1837,0.7374406121777703
F79,0.7369031151268954
F278,0.7346749046425778
F607,0.7234789464317186
F267,0.721870001652228
F570,0.710899820363247
F516,0.7097627617009865
F2117,0.6879326005922345
F626,0.677273367984286
F254,0.6741962030933747
F12,0.6738659513989014
F977,0.6624846672228409
F1521,0.6548978534148195
