Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time,Prediction Time
Baseline LightGBM,0.953725,0.9541564486261949,0.95325,0.9537030089292414,0.9916612287500001,145.9035291671753,3.121346950531006
Tuned LightGBM,0.97125,0.9724310776942355,0.97,0.9712140175219024,0.99615697,711.7480177879333,5.354434251785278
