Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time,Prediction Time
Extra Trees,0.963125,0.9718302684529571,0.9539,0.9627816608210745,0.99438040125,59.09641920001013,1.198053800035268
XGBoost,0.95105,0.9475590394919627,0.95495,0.9512401633628847,0.99035679625,56.9413382000057,0.3411572000477463
