Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time,Prediction Time
Baseline Extra Trees,0.96535,0.9727725287005994,0.9575,0.9650758453862823,0.99495055125,387.8944706916809,9.013488531112671
Tuned Extra Trees,0.955575,0.961318414257506,0.94935,0.9552967220950417,0.9928147075,8776.133400440216,16.50013303756714
